id_article,author,year
journals/apjor/SharafiLJR20,Gholam Reza Jahanshahloo,2020
journals/apjor/SharafiLJR20,Somayeh Razipour-GhalehJough,2020
journals/apjor/ChanM15,Ka Ching Chan,2015
journals/apjor/ChanM15,Terry M. Mills,2015
journals/apjor/ThanosCS16,Aristotelis E. Thanos,2016
journals/apjor/ThanosCS16,Nurcin Celik,2016
journals/apjor/ThanosCS16,Juan Pablo Sáenz,2016
journals/apjor/RaiconiPGVC17,Andrea Raiconi,2017
journals/apjor/RaiconiPGVC17,Julia Pahl,2017
journals/apjor/RaiconiPGVC17,Monica Gentili,2017
journals/apjor/RaiconiPGVC17,Stefan Voß,2017
journals/apjor/RaiconiPGVC17,Raffaele Cerulli,2017
journals/apjor/WangF0Y20,Tianjiao Wang,2020
journals/apjor/WangF0Y20,Yelin Fu,2020
journals/apjor/WangF0Y20,Hao Luo 0008,2020
journals/apjor/WangF0Y20,Jerome Yen,2020
journals/apjor/ChaoCZ15,Miantao Chao,2015
journals/apjor/ChaoCZ15,Caozong Cheng,2015
journals/apjor/ChaoCZ15,Haibin Zhang,2015
journals/apjor/Jiang18,Tao Jiang,2018
journals/apjor/YuWZ19,Xiaohong Yu,2019
journals/apjor/YuWZ19,Sujuan Wang,2019
journals/apjor/YuWZ19,Xindong Zhang,2019
journals/apjor/DingT17,Xuejun Ding,2017
journals/apjor/DingT17,Yong Tian,2017
journals/apjor/LiuC15,Lu Liu 0010,2015
journals/apjor/LiuC15,Di-Rong Chen,2015
journals/alife/Whitelaw15,Mitchell Whitelaw,2015
journals/alife/GreenbaumP17,Benjamin Greenbaum,2017
journals/alife/GreenbaumP17,A. N. Pargellis,2017
journals/alife/Williams16,Lance R. Williams,2016
journals/alife/HickinbothamCNS16,Simon J. Hickinbotham,2016
journals/alife/HickinbothamCNS16,Edward Clark,2016
journals/alife/HickinbothamCNS16,Adam Nellis,2016
journals/alife/HickinbothamCNS16,Susan Stepney,2016
journals/alife/HickinbothamCNS16,Tim Clarke,2016
journals/alife/HickinbothamCNS16,Peter Young,2016
journals/alife/GuttenbergVP19,Nicholas Guttenberg,2019
journals/alife/GuttenbergVP19,Nathaniel Virgo,2019
journals/alife/GuttenbergVP19,Alexandra S. Penn,2019
journals/alife/BuckinghamB17,David Buckingham,2017
journals/alife/BuckinghamB17,Josh Bongard,2017
journals/alife/Stanley19,Kenneth O. Stanley,2019
journals/alife/Beer15,Randall D. Beer,2015
journals/alife/MorenoO19,Matthew Andres Moreno,2019
journals/alife/MorenoO19,Charles Ofria,2019
journals/alife/RobuSNP19,Andrei D. Robu,2019
journals/alife/RobuSNP19,Christoph Salge,2019
journals/alife/RobuSNP19,Chrystopher L. Nehaniv,2019
journals/alife/RobuSNP19,Daniel Polani,2019
journals/alife/EgbertP18,Matthew D. Egbert,2018
journals/alife/EgbertP18,Juan Pérez-Mercader,2018
journals/alife/ScheperC17,Kirk Y. W. Scheper,2017
journals/alife/ScheperC17,Guido C. H. E. de Croon,2017
journals/alife/GreenfieldM15,Gary Greenfield,2015
journals/alife/GreenfieldM15,Penousal Machado,2015
journals/alife/LaBarHA16,Thomas LaBar,2016
journals/alife/LaBarHA16,Arend Hintze,2016
journals/alife/LaBarHA16,Christoph Adami,2016
journals/alife/Stepney17,Susan Stepney,2017
journals/alife/SaundersB15,Rob Saunders,2015
journals/alife/SaundersB15,Oliver Bown,2015
journals/alife/CejkovaHS18,Jitka Cejková,2018
journals/alife/CejkovaHS18,Martin M. Hanczyc,2018
journals/alife/CejkovaHS18,Frantisek Stepánek,2018
journals/alife/GershensonTWS20,Carlos Gershenson,2020
journals/alife/GershensonTWS20,Vito Trianni,2020
journals/alife/GershensonTWS20,Justin Werfel,2020
journals/alife/GershensonTWS20,Hiroki Sayama,2020
journals/alife/Adamatzky15,Andrew Adamatzky,2015
journals/alife/LuoZRY20,Tian-tong Luo,2020
journals/alife/LuoZRY20,Jian-long Zhu,2020
journals/alife/LuoZRY20,Trond Reitan,2020
journals/alife/LuoZRY20,Gabriel Yedid,2020
journals/alife/NicheleGT16,Stefano Nichele,2016
journals/alife/NicheleGT16,Andreas Giskeødegård,2016
journals/alife/NicheleGT16,Gunnar Tufte,2016
journals/alife/CejkovaBHS17,Jitka Cejková,2017
journals/alife/CejkovaBHS17,Taisuke Banno,2017
journals/alife/CejkovaBHS17,Martin M. Hanczyc,2017
journals/alife/CejkovaBHS17,Frantisek Stepánek,2017
journals/alife/RasmussenS19,Steen Rasmussen,2019
journals/alife/RasmussenS19,Paolo Sibani,2019
journals/alife/KingAZP15,Philip H. King,2015
journals/alife/KingAZP15,Chinnu H. Abraham,2015
